ABMI Site Number,ABMI Public Latitude,ABMI Public Longitude,File No. ABMI-00003; Version January 2008,,
733,55.236759,-110.574097,,,
734,55.177525,-110.344810,,,
735,55.823025,-119.752716,,,
736,55.816807,-119.430618,,,
737,55.801968,-119.107246,,,
738,55.766529,-118.838089,,,
739,55.771042,-118.438873,,,
740,55.744255,-118.237701,,,
741,55.713165,-117.789948,,,
742,55.719906,-117.479637,,,
743,55.695053,-117.225212,,,
744,55.694748,-116.895493,,,
745,55.652092,-116.641418,,,
746,55.645458,-116.283638,,,
747,55.593349,-115.911362,,,
748,55.585384,-115.587837,,,
749,55.548016,-115.272202,,,
750,55.518154,-114.964775,,,
751,55.480305,-114.732422,,,
752,55.422710,-114.355591,,,
753,55.416237,-114.079887,,,
754,55.403595,-113.770721,,,
755,55.346962,-113.453072,,,
756,55.344795,-113.137398,,,
757,55.323009,-112.864319,,,
758,55.279350,-112.542313,,,
759,55.248493,-112.251076,,,
760,55.164566,-111.923866,,,
761,55.156345,-111.656158,,,
762,55.109192,-111.248314,,,
763,55.079384,-110.960548,,,
764,55.057682,-110.711029,,,
765,55.031284,-110.344170,,,
766,54.976639,-110.024155,,,
767,55.676655,-119.735291,,,
768,55.626019,-119.435112,,,
769,55.626968,-119.093124,,,
770,55.640907,-118.863098,,,
771,55.596569,-118.537384,,,
772,55.548206,-118.215012,,,
773,55.524647,-117.865845,,,
774,55.532280,-117.562332,,,
775,55.524742,-117.220581,,,
776,55.488499,-116.908836,,,
777,55.483208,-116.593346,,,
778,55.454884,-116.301064,,,
779,55.417374,-116.052673,,,
780,55.392925,-115.642815,,,
781,55.360992,-115.334572,,,
782,55.360718,-115.045410,,,
783,55.300171,-114.781647,,,
784,55.296806,-114.481010,,,
785,55.251911,-114.198654,,,
786,55.239887,-113.804993,,,
787,55.188187,-113.513550,,,
788,55.165794,-113.159264,,,
789,55.116135,-112.903625,,,
790,55.093498,-112.526390,,,
791,55.034576,-112.233109,,,
792,55.026520,-112.013039,,,
793,54.976463,-111.730118,,,
794,54.970066,-111.336494,,,
795,54.911663,-111.094254,,,
796,54.880386,-110.730019,,,
797,54.847198,-110.453285,,,
798,54.786388,-110.197945,,,
799,55.454517,-119.771263,,,
800,55.460148,-119.418243,,,
801,55.466587,-119.175423,,,
802,55.439320,-118.893852,,,
803,55.431545,-118.535416,,,
804,55.365131,-118.219620,,,
805,55.352249,-117.938080,,,
806,55.327389,-117.646263,,,
807,55.344860,-117.256554,,,
808,55.339794,-117.020355,,,
809,55.315441,-116.686966,,,
810,55.281036,-116.385315,,,
811,55.205574,-116.085495,,,
812,55.230770,-115.717583,,,
813,55.180889,-115.419357,,,
814,55.125652,-115.087868,,,
815,55.140415,-114.766304,,,
816,55.088943,-114.516335,,,
817,55.082214,-114.162170,,,
818,55.047272,-113.870064,,,
819,55.018139,-113.568703,,,
820,54.972408,-113.220184,,,
821,54.935959,-113.006966,,,
822,54.898026,-112.672699,,,
823,54.883816,-112.384628,,,
824,54.850914,-112.009575,,,
825,54.811955,-111.665276,,,
826,54.784748,-111.481438,,,
827,54.737556,-111.114609,,,
828,54.705143,-110.820778,,,
829,54.672474,-110.546539,,,
830,54.632225,-110.175346,,,
831,55.288292,-119.812622,,,
832,55.285679,-119.588760,,,
833,55.290909,-119.208244,,,
834,55.265808,-118.930534,,,
835,55.209026,-118.610840,,,
836,55.206089,-118.290535,,,
837,55.204319,-118.005470,,,
838,55.145794,-117.640099,,,
839,55.143173,-117.402084,,,
840,55.110153,-117.031487,,,
841,55.119804,-116.738426,,,
842,55.067348,-116.368378,,,
843,55.038193,-116.082260,,,
844,55.040535,-115.848190,,,
845,55.004955,-115.412407,,,
846,54.963406,-115.101395,,,
847,54.975639,-114.809792,,,
848,54.902222,-114.573601,,,
849,54.870182,-114.268692,,,
850,54.858162,-113.977287,,,
851,54.841652,-113.643242,,,
852,54.792171,-113.373901,,,
853,54.749371,-112.961136,,,
854,54.725239,-112.662849,,,
